# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  6 17:18:26 2015
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_age:         Stellar Age [Gyr]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_orbincl,st_dist,st_teff,st_mass,st_rad,hd_name,pl_name,pl_masse,pl_rade,st_age
227,30.93000000,0.196000,0.150000,,,56.92,5783.00,1.0470,,HD 109271,HD 109271 c,,,7.300
228,5.24000000,0.063500,0.010000,,,59.03,,,,HD 109749,HD 109749 b,,,
229,835.47700000,2.140000,0.462000,,,97.66,,,,HD 110014,HD 110014 b,,,
230,1143.00000000,1.970000,0.200000,,,28.88,5494.00,0.7800,,HD 111232,HD 111232 b,,,5.200
231,324.00000000,0.920000,0.460000,,,37.42,6576.60,1.4000,1.50,HD 113337,HD 113337 b,,,0.150
232,663.20000000,1.240000,0.140000,,,15.90,4462.00,0.5850,0.53,HD 113538,HD 113538 b,,,4.300
233,1818.00000000,2.440000,0.200000,,,15.90,4462.00,0.5850,0.53,HD 113538,HD 113538 c,,,4.300
234,937.70000000,1.650000,0.230000,,,28.04,4804.00,0.6800,,HD 114386,HD 114386 b,,,
235,3827.00000000,5.160000,0.250000,,,20.48,5729.00,1.3640,,HD 114613,HD 114613 b,,,
236,1114.00000000,2.110000,0.167000,,,35.00,,,,HD 114729,HD 114729 b,,,
237,83.88800000,0.363000,0.335900,,,40.57,,,,HD 114762,HD 114762 b,,,
238,493.70000000,1.160000,0.144000,,,20.43,,,,HD 114783,HD 114783 b,,,
239,1627.50000000,2.708000,0.370000,,,51.70,6055.00,1.2400,1.33,HD 11506,HD 11506 b,,,2.400
240,223.60000000,0.721000,0.240000,,,51.70,6055.00,1.2400,1.33,HD 11506,HD 11506 c,,,2.400
241,670.00000000,1.780000,0.054000,,,110.62,,,,HD 116029,HD 116029 b,,,
242,2597.00000000,3.790000,0.144000,,,33.01,,,,HD 117207,HD 117207 b,,,
243,25.82700000,0.176000,0.420000,,,38.02,,,,HD 117618,HD 117618 b,,,
244,6.13350000,0.070000,0.309000,,,88.57,,,,HD 118203,HD 118203 b,,,
245,1945.00000000,3.160000,0.041000,,,33.98,,,,HD 11964,HD 11964 b,,,
246,37.91000000,0.229000,0.300000,,,33.98,,,,HD 11964,HD 11964 c,,,
247,711.00000000,1.930000,0.400000,,,66.49,,,,HD 11977,HD 11977 b,,,
248,2082.00000000,4.300000,0.660000,,,97.66,4892.00,2.3900,9.12,HD 120084,HD 120084 b,,,
249,63.33000000,0.330000,0.030000,,,44.37,6075.00,1.1800,,HD 121504,HD 121504 b,,,1.200
250,9.67370000,0.080900,0.000000,,,27.45,,,,HD 125595,HD 125595 b,,,
251,559.40000000,1.370000,0.460000,,,52.83,,,,HD 125612,HD 125612 b,,,
252,4.15470000,0.050000,0.270000,,,52.83,,,,HD 125612,HD 125612 c,,,
253,3008.00000000,4.200000,0.280000,,,52.83,,,,HD 125612,HD 125612 d,,,
254,262.70900000,0.831000,0.376800,,,37.16,,,,HD 12661,HD 12661 b,,,
255,1708.00000000,2.900000,0.031000,,,37.16,,,,HD 12661,HD 12661 c,,,
256,1244.00000000,2.350000,0.410000,,,68.35,,,,HD 126614,HD 126614 b,,,
257,453.01900000,1.084000,0.303000,,30.000,,,,,HD 128311,HD 128311 b,,,
258,921.53800000,1.740000,0.159000,,55.950,,,,,HD 128311,HD 128311 c,1204.20700,,
259,1840.00000000,2.900000,0.700000,,,67.61,,,,HD 129445,HD 129445 b,,,
260,10.70871000,0.092500,0.029000,,,29.76,5387.00,0.9200,0.85,HD 130322,HD 130322 b,,,
261,883.00000000,2.090000,0.163000,,,121.36,,,,HD 131496,HD 131496 b,,,
262,1951.00000000,3.170000,0.638000,,,57.21,,,,HD 131664,HD 131664 b,,,
263,471.60000000,1.850000,0.270000,,,300.30,,,,HD 13189,HD 13189 b,,,
264,974.00000000,1.980000,0.340000,,,70.97,,,,HD 132406,HD 132406 b,,,
265,1544.00000000,2.620000,0.220000,,,98.52,,,,HD 132563,HD 132563 b,,,
266,258.19000000,0.810000,0.233000,,,25.65,,,,HD 134987,HD 134987 b,,,
267,5000.00000000,5.800000,0.120000,,,25.65,,,,HD 134987,HD 134987 c,,,
268,464.30000000,1.320000,0.255000,,,106.38,,,,HD 136418,HD 136418 b,,,
269,330.00000000,0.890000,0.360000,,,38.45,,,,HD 137388 A,HD 137388 A b,,,
270,19.38200000,0.154000,0.020000,,,66.89,6255.00,1.2900,1.67,HD 13908,HD 13908 b,,,2.900
271,931.00000000,2.030000,0.120000,,,66.89,6255.00,1.2900,1.67,HD 13908,HD 13908 c,,,2.900
272,4218.00000000,5.150000,0.020000,,,45.52,,,,HD 13931,HD 13931 b,,,
273,1125.70000000,2.360000,0.100000,,,121.36,,,,HD 139357,HD 139357 b,,,
274,1455.00000000,3.400000,0.533000,,,163.40,4815.00,2.4000,12.40,HD 14067,HD 14067 b,,,0.690
275,653.22000000,1.520000,0.410000,,,33.46,,,,HD 141937,HD 141937 b,,,
276,349.70000000,1.020000,0.170000,,,25.64,6245.00,1.2320,1.47,HD 142,HD 142 b,,,
277,6005.00000000,6.800000,0.210000,,,25.64,6245.00,1.2320,1.47,HD 142,HD 142 c,,,
278,1928.00000000,3.030000,0.530000,,,35.87,,,,HD 142022 A,HD 142022 A b,,,
279,1299.00000000,2.770000,0.090000,,,106.38,,,,HD 142245,HD 142245 b,,,
280,386.30000000,1.050000,0.500000,,,34.57,6045.00,1.0300,,HD 142415,HD 142415 b,,,1.100
281,1057.00000000,2.000000,0.150000,,,59.35,,,,HD 143361,HD 143361 b,,,
282,103.95000000,0.450000,0.307000,,,55.19,,,,HD 145377,HD 145377 b,,,
283,176.30000000,0.760000,0.112000,,,126.10,,,,HD 145457,HD 145457 b,,,
284,2730.00000000,4.600000,0.053000,,,,,1.7480,5.38,HD 145934,HD 145934 b,,,
285,5.77270000,0.063438,0.140000,,,23.44,5765.00,1.0180,1.11,HD 1461,HD 1461 b,,,
286,44.23600000,0.238800,0.468600,,,42.68,,,,HD 147018,HD 147018 b,,,
287,1008.00000000,1.922000,0.133000,,,42.68,,,,HD 147018,HD 147018 c,,,
288,528.40000000,1.320000,0.260000,,,12.87,5883.00,1.1100,,HD 147513,HD 147513 b,,,0.300
289,1027.00000000,2.450000,0.520000,,,53.05,,,,HD 148156,HD 148156 b,,,
290,331.50000000,0.930000,0.160000,,,59.28,,,,HD 148427,HD 148427 b,,,
291,2.87589110,,,0.85000,84.550,78.86,6160.00,1.3450,1.54,HD 149026,HD 149026 b,116.95700,9.113,2.600
292,4.07200000,0.053000,0.016000,,,63.49,,,,HD 149143,HD 149143 b,,,
293,431.80000000,1.310000,0.101000,,,167.50,,,,HD 1502,HD 1502 b,,,
294,5894.00000000,6.700000,0.380000,,,27.23,5961.00,1.1700,0.96,HD 150706,HD 150706 b,,,3.000
295,2097.00000000,3.200000,0.600000,,,85.18,,,,HD 152079,HD 152079 b,,,
296,689.00000000,1.480000,0.074000,,,182.82,,,,HD 152581,HD 152581 b,,,
297,499.40000000,1.280000,0.340000,,,51.87,,,,HD 153950,HD 153950 b,,,
298,3342.00000000,4.190000,0.044000,,,18.06,,,,HD 154345,HD 154345 b,,,
299,163.90000000,0.600000,0.610000,,,65.79,,,,HD 154672,HD 154672 b,,,
300,408.60000000,1.291000,0.460000,,,68.54,5605.00,1.7180,1.76,HD 154857,HD 154857 b,,,
301,3452.00000000,5.360000,0.060000,,,68.54,5605.00,1.7180,1.76,HD 154857,HD 154857 c,,,
302,194.30000000,0.640000,0.170000,,,43.40,,,,HD 155358,HD 155358 b,,,
303,391.90000000,1.020000,0.160000,,,43.40,,,,HD 155358,HD 155358 c,,,
304,131.05000000,0.495000,0.708000,,,35.37,,,,HD 156279,HD 156279 b,,,
305,842.20000000,1.880000,0.220000,,,55.10,5900.00,1.2500,2.16,HD 156411,HD 156411 b,,,
306,4.64550000,0.050000,0.000000,,,24.05,,,,HD 156668,HD 156668 b,,,
307,359.55460000,1.096000,0.847850,,,49.00,,,,HD 156846,HD 156846 b,,,
308,521.00000000,1.520000,0.291000,,,114.15,,,,HD 158038,HD 158038 b,,,
309,12.62000000,0.110000,0.020000,,,68.59,6123.00,1.1250,1.12,HD 159243,HD 159243 b,,,1.250
310,248.40000000,0.800000,0.075000,,,68.59,6123.00,1.1250,1.12,HD 159243,HD 159243 c,,,1.250
311,1178.40000000,2.250000,0.010000,,,52.72,,,,HD 159868,HD 159868 b,,,
312,352.30000000,1.000000,0.150000,,,52.72,,,,HD 159868,HD 159868 c,,,
313,577.90000000,1.480000,0.078000,,,84.60,4757.00,1.3100,3.80,HD 1605,HD 1605 b,,,4.590
314,2111.00000000,3.520000,0.098000,,,84.60,4757.00,1.3100,3.80,HD 1605,HD 1605 c,,,4.590
315,643.25000000,1.497000,0.128000,,,15.28,5807.00,1.0800,,HD 160691,HD 160691 b,,,6.000
316,4205.80000000,5.235000,0.098500,,,15.28,5807.00,1.0800,,HD 160691,HD 160691 c,,,6.000
317,9.63860000,0.090940,0.172000,,,15.28,5807.00,1.0800,,HD 160691,HD 160691 d,,,6.000
318,310.55000000,0.921000,0.066600,,,15.28,5807.00,1.0800,,HD 160691,HD 160691 e,,,6.000
319,75.52300000,0.363000,0.252000,,,35.91,,,,HD 16141,HD 16141 b,,,
320,990.00000000,2.100000,0.590000,,,59.84,6080.00,1.2900,1.68,HD 16175,HD 16175 b,,,4.000
321,8.42819800,0.074000,0.277000,,,31.26,,,,HD 162020,HD 162020 b,,,
322,75.29000000,0.360000,0.730000,,,69.44,5543.00,1.0900,1.63,HD 163607,HD 163607 b,,,8.600
323,1314.00000000,2.420000,0.120000,,,69.44,5543.00,1.0900,1.63,HD 163607,HD 163607 c,,,8.600
324,17.24000000,0.140000,0.200000,,,25.54,,,,HD 16417,HD 16417 b,,,
325,282.40000000,0.875000,0.260000,,,51.81,5922.00,1.1300,1.06,HD 164509,HD 164509 b,,,1.100
326,606.40000000,1.300000,0.240000,,,37.98,,,,HD 164604,HD 164604 b,,,
327,1155.00000000,2.110000,0.050000,,,21.92,,,,HD 164922,HD 164922 b,,,
328,270.00000000,0.940000,0.630000,,,110.62,6317.00,1.5000,1.93,HD 1666,HD 1666 b,,,1.760
329,5144.00000000,5.420000,0.734000,,,42.99,5127.00,0.8100,,HD 166724,HD 166724 b,,,4.000
330,420.77000000,1.320000,0.089000,,,50.00,4943.00,1.5000,4.50,HD 167042,HD 167042 b,,,
331,58.11247000,0.293100,0.528830,,,37.88,5491.00,0.9950,1.51,HD 168443,HD 168443 b,,,
332,1749.83000000,2.837300,0.211300,,,37.88,5491.00,0.9950,1.51,HD 168443,HD 168443 c,,,
333,6.40400000,0.065900,0.107000,,,43.12,5564.00,0.9300,,HD 168746,HD 168746 b,,,
334,533.00000000,1.300000,0.640000,,,7.01,,,,HD 1690,HD 1690 b,,,
335,225.62000000,0.810000,0.310000,,,36.32,6299.00,1.4000,,HD 169830,HD 169830 b,,,2.800
336,2102.00000000,3.600000,0.330000,,,36.32,6299.00,1.4000,,HD 169830,HD 169830 c,,,2.800
337,1145.00000000,2.100000,0.110000,,,64.98,5810.00,1.1400,1.22,HD 170469,HD 170469 b,,,6.700
338,359.90000000,,0.166000,,,,4650.00,2.3000,,HD 17092,HD 17092 b,,,
339,550.00000000,1.320000,0.590000,,,90.00,5663.00,0.9900,1.95,HD 171028,HD 171028 b,,,8.500
340,1523.00000000,2.540000,0.400000,,,44.05,5467.00,0.9430,,HD 171238,HD 171238 b,,,4.920
341,21.21663000,0.161400,0.681900,3.78000,87.890,75.00,6100.00,1.2400,1.44,HD 17156,HD 17156 b,1023.37000,11.430,2.800
342,323.60000000,1.160000,0.210000,,,134.95,4683.00,2.0000,13.50,HD 173416,HD 173416 b,,,
343,1290.00000000,2.400000,0.540000,,,67.02,,,,HD 175167,HD 175167 b,,,
344,297.30000000,1.030000,0.330000,,,127.55,5060.00,1.6500,3.80,HD 175541,HD 175541 b,,,1.900
345,406.60000000,1.221800,0.009000,,,59.03,,,,HD 177830,HD 177830 b,,,
346,110.90000000,0.513700,0.300000,,,59.03,,,,HD 177830,HD 177830 c,,,
347,71.48400000,0.339000,0.114000,,,46.73,,,,HD 178911 B,HD 178911 B b,,,
348,14.47600000,0.121600,0.115000,,,63.69,5684.00,1.1460,1.60,HD 179079,HD 179079 b,,,
349,3.09251400,0.044300,0.022000,,,27.05,6168.00,1.2100,,HD 179949,HD 179949 b,,,
350,396.03000000,1.400000,0.257000,,,131.75,,,,HD 180314,HD 180314 b,6991.97000,,
351,479.00000000,1.390000,0.090000,,,114.55,,,,HD 180902,HD 180902 b,,,
352,663.00000000,1.780000,0.177000,,,115.47,,,,HD 181342,HD 181342 b,,,
353,9.37430000,0.080000,0.396000,,,26.15,4962.00,0.7800,,HD 181433,HD 181433 b,,,
354,962.00000000,1.760000,0.280000,,,26.15,4962.00,0.7800,,HD 181433,HD 181433 c,,,
355,2172.00000000,3.000000,0.480000,,,26.15,4962.00,0.7800,,HD 181433,HD 181433 d,,,
356,956.00000000,1.780000,0.260000,,,55.93,5781.00,0.9200,1.39,HD 181720,HD 181720 b,,,
357,626.50000000,1.510000,0.356700,,,52.83,5936.00,1.1700,,HD 183263,HD 183263 b,,,8.130
358,3070.00000000,4.350000,0.239000,,,52.83,5936.00,1.1700,,HD 183263,HD 183263 c,,,8.130
359,6.83800000,0.077000,0.300000,,,47.37,5980.00,1.2800,1.88,HD 185269,HD 185269 b,,,4.200
360,986.00000000,2.050000,0.470000,,,44.98,6075.00,1.2200,,HD 187085,HD 187085 b,,,3.300
361,3.09658280,0.042600,0.010300,,,47.92,5830.00,1.0000,,HD 187123,HD 187123 b,,,
362,3810.00000000,4.890000,0.252000,,,47.92,5830.00,1.0000,,HD 187123,HD 187123 c,,,
363,772.00000000,1.920000,0.120000,,,127.88,,,,HD 18742,HD 18742 b,,,
364,461.20000000,1.203000,0.137000,,,52.63,5746.00,1.0900,,HD 188015,HD 188015 b,,,
365,2.21857578,0.031420,,1.00400,85.780,19.25,5050.00,0.8400,0.75,HD 189733,HD 189733 b,365.48900,12.902,1.400
366,2915.00000000,4.010000,0.313000,,,15.89,5590.00,0.9600,1.13,HD 190360,HD 190360 b,,,6.700
367,17.11100000,0.130400,0.237000,,,15.89,5590.00,0.9600,1.13,HD 190360,HD 190360 c,,,6.700
368,1038.10000000,2.070000,0.180000,,,54.23,,,,HD 190647,HD 190647 b,,,
369,4885.00000000,5.500000,0.570000,,,189.39,5988.00,0.9100,1.53,HD 190984,HD 190984 b,,,
370,24.35560000,0.153200,0.055000,,,19.89,,,,HD 192263,HD 192263 b,,,
371,74.72000000,0.320000,0.130000,,90.000,8.82,,,,HD 192310,HD 192310 b,,,
372,525.80000000,1.180000,0.320000,,90.000,8.82,,,,HD 192310,HD 192310 c,,,
373,345.53000000,1.150000,0.129000,,,67.39,5220.00,1.6800,3.90,HD 192699,HD 192699 b,,,1.800
374,18.20132000,0.138800,0.013800,,,37.35,5788.00,1.0700,,HD 195019,HD 195019 b,,,
375,1378.00000000,2.540000,0.228000,,,46.93,5892.00,1.1500,,HD 196050,HD 196050 b,,,
376,3638.00000000,5.020000,0.660000,,,43.57,6017.00,1.2900,1.73,HD 196067,HD 196067 b,,,3.300
377,1333.00000000,2.370000,0.480000,,,32.99,6254.00,1.2800,1.31,HD 196885,HD 196885 b,,,3.120
378,1035.70000000,2.070000,0.220000,,,32.83,,,,HD 197037,HD 197037 b,,,
379,466.20000000,1.305000,0.063000,,,22.38,6190.00,1.3700,,HD 19994,HD 19994 b,,,
380,613.80000000,1.601000,0.040000,,,68.35,5164.00,1.4400,4.30,HD 200964,HD 200964 b,,,3.000
381,825.00000000,1.950000,0.181000,,,68.35,5164.00,1.4400,4.30,HD 200964,HD 200964 c,,,3.000
382,255.87000000,0.830400,0.434920,,90.000,46.34,5765.00,1.1500,,HD 202206,HD 202206 b,,,5.600
383,1383.40000000,2.542000,0.266920,,90.000,46.34,5765.00,1.1500,,HD 202206,HD 202206 c,,,5.600
384,,487.100000,,,,40.85,,,,HD 203030,HD 203030 b,7656.09700,,0.220
385,1120.00000000,2.230000,0.715000,,,89.85,5941.00,1.1700,,HD 2039,HD 2039 b,,,
386,1920.10000000,3.040000,0.230000,,,47.30,5760.00,1.0200,,HD 204313,HD 204313 b,,,7.200
387,2831.60000000,3.930000,0.280000,,,47.30,5760.00,1.0200,,HD 204313,HD 204313 d,,,7.200
388,1733.00000000,2.560000,0.370000,,,26.95,,,,HD 204941,HD 204941 b,,,
389,279.80000000,0.896000,0.270000,,,90.33,6176.00,1.2200,1.33,HD 205739,HD 205739 b,,,2.840
390,610.00000000,1.680000,0.229000,,,170.07,,,,HD 206610,HD 206610 b,,,
391,577.90000000,1.359000,0.570000,,,36.02,5758.00,1.0000,,HD 20782,HD 20782 b,,,7.100
392,161.97000000,0.570000,0.130000,,,55.31,5710.00,0.9400,0.90,HD 207832,HD 207832 b,177.97700,,
393,1155.70000000,2.112000,0.270000,,,55.31,5710.00,0.9400,0.90,HD 207832,HD 207832 c,232.00600,,
394,18.31500000,0.120700,0.000000,,90.000,6.06,,,,HD 20794,HD 20794 b,,,
395,40.11400000,0.203600,0.000000,,90.000,6.06,,,,HD 20794,HD 20794 c,,,
396,90.30900000,0.349900,0.000000,,90.000,6.06,,,,HD 20794,HD 20794 d,,,
397,130.08000000,0.524000,0.240000,,,44.00,6067.00,1.1300,,HD 208487,HD 208487 b,,,
398,875.50000000,2.100000,0.080000,,,352.11,4035.00,1.6000,51.10,HD 208527,HD 208527 b,,,2.000
399,380.85000000,0.947000,0.750000,,,48.90,4795.00,0.7800,0.79,HD 20868,HD 20868 b,,,4.500
400,3.52474859,0.047470,,0.36200,86.590,47.08,6117.00,1.1480,1.16,HD 209458,HD 209458 b,226.92100,15.468,2.300
401,442.19000000,1.138000,0.476000,,,21.29,5555.00,1.0100,,HD 210277,HD 210277 b,,,
402,354.80000000,1.200000,0.094000,,,55.93,4967.00,1.6800,5.10,HD 210702,HD 210702 b,603.85200,,
403,2.24571500,0.036000,0.000000,,,52.72,,,,HD 212301,HD 212301 b,,,
404,373.30000000,1.220000,0.111000,,,121.80,,,,HD 212771,HD 212771 b,,,
405,951.00000000,2.030000,0.450000,,,40.75,,,,HD 213240,HD 213240 b,,,
406,3.93404000,0.047000,0.160000,,,43.53,5113.00,0.8720,,HD 215497,HD 215497 b,,,7.000
407,567.94000000,1.282000,0.490000,,,43.53,5113.00,0.8720,,HD 215497,HD 215497 c,,,7.000
408,1311.00000000,2.560000,0.070000,,,33.29,5999.00,1.3000,,HD 216435,HD 216435 b,,,3.000
409,,,,,,26.52,,1.1500,,HD 216437,HD 216437 b,,,
410,148.60000000,0.609000,0.380000,,,,4639.00,1.3600,12.50,HD 216536,HD 216536 b,,,3.800
411,118.45000000,0.460000,0.370000,,,37.89,,0.9000,,HD 216770,HD 216770 b,,,3.100
412,7.12681600,0.074800,0.126700,,,19.72,5646.00,1.0200,,HD 217107,HD 217107 b,,,
413,4270.00000000,5.320000,0.517000,,,19.72,5646.00,1.0200,,HD 217107,HD 217107 c,,,
414,1319.00000000,2.380000,0.400000,,,54.92,,,,HD 217786,HD 217786 b,,,
415,225.70000000,0.687300,0.300000,,,29.94,,,,HD 218566,HD 218566 b,,,
416,5501.00000000,6.220000,0.770000,,,29.20,5362.00,1.0500,1.91,HD 219077,HD 219077 b,,,8.900
417,2093.30000000,3.200000,0.400000,,,,4820.00,1.0000,2.90,HD 219415,HD 219415 b,317.81700,,
418,3.83350000,,0.000000,,,81.10,,,,HD 219828,HD 219828 b,,,
419,672.10000000,1.600000,0.140000,,,289.02,3935.00,1.2000,49.70,HD 220074,HD 220074 b,,,4.500
420,2209.00000000,3.360000,0.160000,,,45.23,5921.00,1.0400,1.07,HD 220689,HD 220689 b,,,3.500
421,3724.70000000,4.940000,0.510000,,,48.43,,,,HD 220773,HD 220773 b,,,
422,456.10000000,1.250000,0.080000,,,52.88,,,,HD 221287,HD 221287 b,,,
423,3999.00000000,5.100000,0.160000,,,50.45,5765.00,1.1300,1.67,HD 222155,HD 222155 b,,,8.200
424,572.38000000,1.347000,0.725000,,,41.95,5727.00,0.9900,,HD 222582,HD 222582 b,,,
425,26.73000000,0.192000,0.050000,,,94.07,6037.00,1.3300,1.70,HD 224693,HD 224693 b,,,
426,528.07000000,1.167000,0.819100,,,31.79,,,,HD 22781,HD 22781 b,,,
427,730.60000000,1.596000,0.102000,,,34.60,,,,HD 23079,HD 23079 b,,,
428,1214.00000000,2.400000,0.440000,,,89.13,,1.1300,,HD 23127,HD 23127 b,,,7.100
429,141.60000000,0.530000,0.100000,,,108.46,6208.00,1.1400,1.35,HD 231701,HD 231701 b,,,4.900
430,192.00000000,0.747000,0.050000,,,,4791.00,1.5000,10.90,HD 233604,HD 233604 b,,,2.400
431,1561.00000000,2.772000,0.266000,,,51.97,,,,HD 23596,HD 23596 b,,,
432,501.75000000,1.160000,0.150000,,,,4297.00,0.8200,,HD 240210,HD 240210 b,,,
433,745.70000000,1.900000,0.400000,,,307.69,4361.00,1.6900,32.00,HD 240237,HD 240237 b,,,
434,3668.00000000,4.920000,0.040000,,,46.51,5853.00,1.1800,,HD 24040,HD 24040 b,,,
435,1845.00000000,3.020000,0.080000,,,56.05,,,,HD 25171,HD 25171 b,,,
436,3.44420000,0.044000,0.000000,,,53.71,5192.00,0.9300,,HD 2638,HD 2638 b,,,3.000
437,428.10000000,1.271000,0.060000,,,18.24,,,,HD 27442,HD 27442 b,,,
438,2208.00000000,3.250000,0.120000,,,44.54,5737.00,0.9400,1.00,HD 27631,HD 27631 b,,,4.400
439,17.99040000,0.125000,0.048600,,,42.37,4875.00,0.8000,,HD 27894,HD 27894 b,,,3.900
440,385.90000000,1.032000,0.092000,,,39.56,,,,HD 28185,HD 28185 b,,,
441,1116.00000000,2.150000,0.810000,,,54.70,5664.00,1.0600,1.48,HD 28254,HD 28254 b,,,
442,6.08810000,,0.086000,,,42.43,4503.00,0.7340,0.66,HD 285507,HD 285507 b,,,0.625
443,8.78360000,0.066000,0.000000,,,9.42,3679.00,0.4500,0.45,HD 285968,HD 285968 b,,,
444,387.10000000,1.250000,0.168000,,,168.92,,,,HD 28678,HD 28678 b,,,
445,2443.00000000,3.430000,0.080000,,,56.70,5552.00,0.9000,1.00,HD 290327,HD 290327 b,,,
446,311.60000000,1.200000,0.129000,,,115.21,4844.00,2.5400,12.02,HD 2952,HD 2952 b,,,
447,2770.00000000,3.950000,0.193000,,,54.71,5588.00,1.0100,,HD 30177,HD 30177 b,,,
448,1159.20000000,2.315000,0.778000,,,26.50,5994.00,1.2300,1.53,HD 30562,HD 30562 b,,,3.600
449,1684.00000000,2.690000,0.180000,,,57.10,5400.00,0.9200,0.91,HD 30669,HD 30669 b,,,4.800
450,912.00000000,1.800000,0.117000,,,121.07,,,,HD 30856,HD 30856 b,,,
451,466.00000000,1.260000,0.300000,,,53.82,,,,HD 31253,HD 31253 b,,,
452,157.54000000,0.590000,0.010000,,,117.37,4580.00,1.1300,10.22,HD 32518,HD 32518 b,,,5.830
453,3.38773000,0.039000,0.000000,,,50.20,5017.00,0.7000,,HD 330075,HD 330075 b,,,6.200
454,326.60000000,1.060000,0.120000,,,136.80,,,,HD 33142,HD 33142 b,,,
455,18.17900000,0.145000,0.480000,,,86.88,5995.00,1.2400,1.20,HD 33283,HD 33283 b,,,
456,388.00000000,1.100000,0.340000,,,20.98,,,,HD 33564,HD 33564 b,,,
457,1049.00000000,2.070000,0.270000,,,45.01,,,,HD 34445,HD 34445 b,,,
458,62.21800000,0.295000,0.596000,,,11.11,,,,HD 3651,HD 3651 b,,,
459,154.46000000,0.530000,0.055000,,,33.24,,,,HD 37124,HD 37124 b,,,
460,843.60000000,1.640000,0.140000,,,33.24,,,,HD 37124,HD 37124 c,,,
461,2295.00000000,3.190000,0.200000,,,33.24,,,,HD 37124,HD 37124 d,,,
462,55.01307000,0.283100,0.676700,,,42.88,5448.00,1.0000,0.90,HD 37605,HD 37605 b,,,7.000
463,2720.00000000,3.814000,0.013000,,,42.88,5448.00,1.0000,0.90,HD 37605,HD 37605 c,,,7.000
464,363.20000000,1.020000,0.410000,,,37.78,,,,HD 38283,HD 38283 b,108.05800,,
465,14.30980000,0.131000,0.257000,,,42.43,,,,HD 38529,HD 38529 b,,,
466,2140.20000000,3.712000,0.341000,,,42.43,,,,HD 38529,HD 38529 c,,,
467,696.30000000,1.700000,0.000000,,,99.40,,,,HD 38801,HD 38801 b,,,
468,2151.00000000,3.380000,0.640500,,,18.21,,,,HD 39091,HD 39091 b,,,
469,4.31230000,0.046800,0.200000,,,12.83,4956.00,0.7700,,HD 40307,HD 40307 b,,,4.500
470,9.61840000,0.079900,0.060000,,,12.83,4956.00,0.7700,,HD 40307,HD 40307 c,,,4.500
471,20.43200000,0.132100,0.070000,,,12.83,4956.00,0.7700,,HD 40307,HD 40307 d,,,4.500
472,34.62000000,0.188600,0.150000,,,12.83,4956.00,0.7700,,HD 40307,HD 40307 e,,,4.500
473,51.76000000,0.247000,0.020000,,,12.83,4956.00,0.7700,,HD 40307,HD 40307 f,,,4.500
474,197.80000000,0.600000,0.290000,,,12.83,4956.00,0.7700,,HD 40307,HD 40307 g,,,4.500
475,264.15000000,0.846000,0.252000,,,33.33,,,,HD 40979,HD 40979 b,,,
476,963.00000000,,0.740000,,,43.03,5010.00,0.7000,,HD 41004 A,HD 41004 A b,,,1.600
477,1.32830000,,0.081000,,,43.03,,0.4000,,HD 41004 B,HD 41004 B b,,,
478,526.62000000,1.280000,0.903000,,,44.05,5688.00,0.9900,,HD 4113,HD 4113 b,,,6.400
479,437.05000000,1.173500,0.520000,,,77.82,5702.00,1.1300,,HD 4203,HD 4203 b,,,
480,6700.00000000,6.950000,0.240000,,,77.82,5702.00,1.1300,,HD 4203,HD 4203 c,,,
481,828.00000000,1.650000,0.052000,,,32.70,,,,HD 4208,HD 4208 b,,,
482,15.56000000,0.115000,0.000000,,,21.85,5685.00,0.8300,,HD 4308,HD 4308 b,,,4.300
483,356.00000000,1.190000,0.041000,,,131.41,,,,HD 4313,HD 4313 b,,,
484,327.80000000,0.920000,0.830000,,,56.30,5508.00,0.9600,1.00,HD 43197,HD 43197 b,,,
485,36.96000000,0.240000,0.140000,,,93.20,6200.00,1.3800,,HD 43691,HD 43691 b,,,2.800
486,472.30000000,1.190000,0.610000,,,50.40,5752.00,1.0000,1.32,HD 44219,HD 44219 b,,,
487,963.60000000,1.920000,0.778000,,,48.95,5616.00,1.0200,,HD 45350,HD 45350 b,,,8.000
488,226.93000000,0.681300,0.168400,,,32.58,,,,HD 45364,HD 45364 b,,,
489,342.85000000,0.897200,0.097400,,,32.58,,,,HD 45364,HD 45364 c,,,
490,43.60000000,0.230000,0.380000,,,36.14,5312.00,0.8300,,HD 45652,HD 45652 b,,,12.000
491,3.02357300,0.039800,0.063000,,,33.41,5285.00,0.9200,,HD 46375,HD 46375 b,,,
